number,name,status
597,PEP 597 – Add optional EncodingWarning,Unknown
592,PEP 592 – Adding “Yank” Support to the Simple API,Unknown
589,PEP 589 – TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,Unknown
586,PEP 586 – Literal Types,Unknown
585,PEP 585 – Type Hinting Generics In Standard Collections,Unknown
584,PEP 584 – Add Union Operators To dict,Unknown
573,PEP 573 – Module State Access from C Extension Methods,Unknown
572,PEP 572 – Assignment Expressions,Unknown
578,PEP 578 – Python Runtime Audit Hooks,Unknown
574,PEP 574 – Pickle protocol 5 with out-of-band data,Unknown
570,PEP 570 – Python Positional-Only Parameters,Unknown
565,PEP 565 – Show DeprecationWarning in __main__,Unknown
566,PEP 566 – Metadata for Python Software Packages 2.1,Unknown
564,PEP 564 – Add new time functions with nanosecond resolution,Unknown
538,PEP 538 – Coercing the legacy C locale to a UTF-8 based locale,Unknown
562,PEP 562 – Module __getattr__ and __dir__,Unknown
561,PEP 561 – Distributing and Packaging Type Information,Unknown
539,PEP 539 – A New C-API for Thread-Local Storage in CPython,Unknown
530,PEP 530 – Asynchronous Comprehensions,Unknown
527,PEP 527 – Removing Un(der)used file types/extensions on PyPI,Unknown
529,PEP 529 – Change Windows filesystem encoding to UTF-8,Unknown
524,PEP 524 – Make os.urandom() blocking on Linux,Unknown
526,PEP 526 – Syntax for Variable Annotations,Unknown
525,PEP 525 – Asynchronous Generators,Unknown
519,PEP 519 – Adding a file system path protocol,Unknown
518,PEP 518 – Specifying Minimum Build System Requirements for Python Projects,Unknown
523,PEP 523 – Adding a frame evaluation API to CPython,Unknown
520,PEP 520 – Preserving Class Attribute Definition Order,Unknown
517,PEP 517 – A build-system independent format for source trees,Unknown
515,PEP 515 – Underscores in Numeric Literals,Unknown
508,PEP 508 – Dependency specification for Python Software Packages,Unknown
506,PEP 506 – Adding A Secrets Module To The Standard Library,Unknown
503,PEP 503 – Simple Repository API,Unknown
495,PEP 495 – Local Time Disambiguation,Unknown
492,PEP 492 – Coroutines with async and await syntax,Unknown
498,PEP 498 – Literal String Interpolation,Unknown
493,PEP 493 – HTTPS verification migration tools for Python 2.7,Unknown
487,PEP 487 – Simpler customisation of class creation,Unknown
489,PEP 489 – Multi-phase extension module initialization,Unknown
488,PEP 488 – Elimination of PYO files,Unknown
465,PEP 465 – A dedicated infix operator for matrix multiplication,Unknown
476,PEP 476 – Enabling certificate verification by default for stdlib http clients,Unknown
471,PEP 471 – os.scandir() function – a better and faster directory iterator,Unknown
468,PEP 468 – Preserving the order of **kwargs in a function.,Unknown
475,PEP 475 – Retry system calls failing with EINTR,Unknown
456,PEP 456 – Secure and interchangeable hash algorithm,Unknown
461,PEP 461 – Adding % formatting to bytes and bytearray,Unknown
454,PEP 454 – Add a new tracemalloc module to trace Python memory allocations,Unknown
453,PEP 453 – Explicit bootstrapping of pip in Python installations,Unknown
441,PEP 441 – Improving Python ZIP Application Support,Unknown
443,PEP 443 – Single-dispatch generic functions,Unknown
440,PEP 440 – Version Identification and Dependency Specification,Unknown
450,PEP 450 – Adding A Statistics Module To The Standard Library,Unknown
448,PEP 448 – Additional Unpacking Generalizations,Unknown
451,PEP 451 – A ModuleSpec Type for the Import System,Unknown
442,PEP 442 – Safe object finalization,Unknown
425,PEP 425 – Compatibility Tags for Built Distributions,Unknown
